" ","Player 0","Player 1","Player 2","Player 3","Player 4","Player 5"
"total",999,999,999,999,999,999
"win",161,210,165,169,141,153
"percent",16.1161161161161,21.021021021021,16.5165165165165,16.9169169169169,14.1141141141141,15.3153153153153
