" ","Player 0","Player 1","Player 2","Player 3","Player 4","Player 5"
"total",999,999,999,999,999,999
"win",195,172,179,158,162,133
"percent",19.5195195195195,17.2172172172172,17.9179179179179,15.8158158158158,16.2162162162162,13.3133133133133
