" ","Player 0","Player 1","Player 2","Player 3","Player 4","Player 5"
"total",999,999,999,999,999,999
"win",184,168,182,153,173,139
"percent",18.4184184184184,16.8168168168168,18.2182182182182,15.3153153153153,17.3173173173173,13.9139139139139
