" ","Player 0","Player 1","Player 2","Player 3","Player 4","Player 5"
"total",997,997,997,997,997,997
"win",193,178,156,174,145,151
"percent",19.358074222668,17.8535606820461,15.6469408224674,17.4523570712136,14.543630892678,15.1454363089268
