" ","Player 0","Player 1","Player 2","Player 3","Player 4","Player 5"
"total",999,999,999,999,999,999
"win",180,175,158,180,144,162
"percent",18.018018018018,17.5175175175175,15.8158158158158,18.018018018018,14.4144144144144,16.2162162162162
