" ","Player 0","Player 1","Player 2","Player 3","Player 4","Player 5"
"total",999,999,999,999,999,999
"win",188,185,177,151,145,153
"percent",18.8188188188188,18.5185185185185,17.7177177177177,15.1151151151151,14.5145145145145,15.3153153153153
